epoch,train_loss,val_loss,train_acc,val_acc
1,0.7913369302073388,0.6237496199324267,0.7308945126534703,0.7709251101321586
2,0.3529505467644851,0.47932432009325676,0.8762214983713354,0.8138766519823789
3,0.27385988786715787,0.47440322715017763,0.8995239288398897,0.8193832599118943
4,0.2422662578006043,0.6014091003090523,0.9100476071160111,0.7995594713656388
5,0.21384768590118258,0.4358346765278326,0.9230769230769231,0.8436123348017621
6,0.19990288544062593,0.27881455594019366,0.9253319969932348,0.8942731277533039
7,0.18520361515878883,0.2853608170333462,0.9366073665747933,0.8920704845814978
8,0.18014207554024822,0.26726036274288717,0.9343522926584816,0.8997797356828194
9,0.159762630732443,0.28661048222827573,0.9418692057128539,0.8986784140969163
10,0.1537593501652431,0.284564669421435,0.9418692057128539,0.8920704845814978
