epoch,train_loss,val_loss,train_acc,val_acc
1,1.5283536549131886,1.05807326490141,0.5761454841003759,0.686385737439222
2,0.880915499134397,0.896075019096681,0.7377831961800264,0.7244732576985413
3,0.736806487717377,0.882760318910863,0.7747637915269735,0.7224473257698542
4,0.6603840583255836,0.7219882223806442,0.7978258660977344,0.7803889789303079
5,0.5969851724890496,0.6947983370975378,0.8139794778014833,0.779578606158833
6,0.5673145718428222,0.7196309199308406,0.8201767753733618,0.7884927066450568
7,0.5340660013804213,0.7554425828130931,0.8334857258965762,0.7820097244732577
8,0.5006469766577485,0.6826174526280653,0.839175048257645,0.784035656401945
9,0.4728076498655361,0.7241319440081836,0.8438484201970944,0.7832252836304701
10,0.46698559566470865,0.5984931473033065,0.8479122218835721,0.8144246353322528
11,0.44859803948571475,0.5802155939780622,0.8524839987808595,0.8152350081037277
12,0.43122161760582595,0.6062817624138972,0.8612211724067865,0.8079416531604539
13,0.4248128323342201,0.6014092839409777,0.8619323377019201,0.8047001620745543
14,0.39986660864904716,0.5943645218581963,0.8660977344305598,0.8188816855753647
15,0.39608786220074815,0.6629292069069401,0.8644722137559687,0.7986223662884927
16,0.38377367927572004,0.5505632574804357,0.8735141725083816,0.8217179902755267
17,0.3712428884390928,0.5596248537048809,0.874530122930001,0.8229335494327391
18,0.3631046712020058,0.5767827165751557,0.874631717972163,0.8225283630470016
19,0.35750884216127027,0.6511196712223659,0.8800162552067459,0.8152350081037277
20,0.341982609814446,0.5651069986550937,0.8833688915980901,0.8245542949756888
21,0.33259753018911326,0.5948272928160825,0.888855023874835,0.8213128038897893
22,0.33291464102991253,0.5631312932532335,0.8861119577364625,0.8221231766612642
23,0.32442230685908025,0.5538395494860379,0.8889566189169968,0.8354943273905997
24,0.318366012603641,0.6248296717781048,0.8954587016153611,0.8196920583468396
25,0.30666906308875896,0.5715947257927687,0.8952555115310373,0.8273905996758509
26,0.30987027259324973,0.5909961986446427,0.8909885197602357,0.8241491085899514
27,0.29357278906244166,0.5547570981858132,0.9006400487656202,0.839546191247974
28,0.29096119124133885,0.5342346143394081,0.8973890074164381,0.8415721231766613
29,0.2871763712050868,0.5289291970279352,0.901046428934268,0.8472447325769854
30,0.2919711559135885,0.562877675379148,0.8999288834704866,0.8460291734197731
